author,year,doi,mention_id,song_id,n_mentions,type,artist,title,passage,chills,notes
Goldstein,1980,10.3758/bf03326460,m00001,s00129,1,empirical,Charles Gounod,Faust,Act 3 (Unspecified 6 min passage),NA,NA
Sloboda,1991,10.1177/0305735691192002,m00002,s00389,3,report,Johann Sebastian Bach,St Matthew Passion - BWV 244,NA,Part 2: No. 54 (Barrabas!),NA
Sloboda,1991,10.1177/0305735691192002,m00003,s00469,1,report,Ludwig van Beethoven,Piano Concerto No. 4 in G major - Op. 58,NA,Mvt. 1: M. 105; M. 170; Mm. 257–258; Mvt. 2: Mm. 68–71; Mvt. 3: M. 360,NA
Sloboda,1991,10.1177/0305735691192002,m00004,s00043,1,report,Anton Bruckner,Ave Maria - WAB 6,NA,Mm. 16–21 (Jesus),NA
Sloboda,1991,10.1177/0305735691192002,m00005,s00048,1,report,Antonio Caldara,Laboravi in gemitu meo,NA,M. 3,NA
Sloboda,1991,10.1177/0305735691192002,m00006,s00569,1,report,Orlando Gibbons,The Silver Swan,NA,Mm. 11–13 (thus sung),NA
Sloboda,1991,10.1177/0305735691192002,m00007,s00300,1,report,Gustav Mahler,Symphony No. 3,NA,Mvt. 1: M. of No. 74,NA
Sloboda,1991,10.1177/0305735691192002,m00008,s00233,1,report,Felix Mendelssohn,Lauda Sion - Op. 73,NA,Mvt. 1:  Mm. 17–25,NA
Sloboda,1991,10.1177/0305735691192002,m00009,s00057,3,report,Arnold Schoenberg,Verklärte Nacht - Op. 4,NA,M. 229,NA
Sloboda,1991,10.1177/0305735691192002,m00010,s00232,1,report,Felix Mendelssohn,‎Hark! The Herald Angels Sing,NA,V3 M. 17,Arrangement by David Willcocks
Panksepp,1995,10.2307/40285693,m00011,s00594,4,empirical,Pink Floyd,The Post War Dream,NA,Dramatic crescendo at beginning of second min,NA
Panksepp,1995,10.2307/40285693,m00012,s00015,5,empirical,Air Supply,Making Love Out of Nothing at All,NA,NA,NA
Panksepp,1995,10.2307/40285693,m00013,s00423,1,empirical,Journey,Faithfully,NA,NA,NA
Panksepp,1995,10.2307/40285693,m00014,s00100,1,empirical,Boston,Peace of Mind,NA,NA,NA
Panksepp,1995,10.2307/40285693,m00015,s00324,1,empirical,Howard Jones,No One Is to Blame,NA,NA,NA
Panksepp,1995,10.2307/40285693,m00016,s00158,1,empirical,Cris Williamson,Wild Things,NA,NA,NA
Panksepp,1995,10.2307/40285693,m00017,s00093,1,empirical,Bob Marley,No Woman No Cry,NA,NA,NA
Panksepp,1995,10.2307/40285693,m00018,s00438,1,empirical,Kitaro,Auspicious Omen,NA,NA,NA
Panksepp,1995,10.2307/40285693,m00019,s00157,1,empirical,Cris Williamson,Sing a Song,NA,NA,NA
Panksepp,1995,10.2307/40285693,m00020,s00799,2,anecdote,Whitney Houston,I Will Always Love You,NA,NA,NA
Panksepp,1995,10.2307/40285693,m00021,s00508,2,anecdote,Meat Loaf,For Crying Out Loud,NA,NA,NA
Blood & Zatorre,2001,10.1073/pnas.191355898,m00022,s00681,2,empirical,Sergei Rachmaninoff,Piano Concerto No. 3 in D minor - Op. 30,Mvt. 2 (Intermezzo: Adagio),NA,NA
Blood & Zatorre,2001,10.1073/pnas.191355898,m00023,s00667a,8,empirical,Samuel Barber,Adagio for Strings,NA,NA,NA
Panksepp & Bernatzky,2002,10.1016/s0376-6357(02)00080-3,m00024,s00803,1,anecdote,William Steffe,Battle Hymn of the Republic,NA,NA,NA
Panksepp & Bernatzky,2002,10.1016/s0376-6357(02)00080-3,m00025,s00508,2,empirical,Meat Loaf,For Crying Out Loud,NA,NA,NA
Gabrielsson & Wik,2003,10.1177/102986490300700201,m00026,s00301,4,report,Gustav Mahler,Symphony No. 5,Mvt. 4 (Adagietto),NA,NA
Rickard,2004,10.1177/0305735604046096,m00027,s00339,2,empirical,Igor Stravinsky,The Rite of Spring,Part 2 (Le Sacrifice) - Danse Sacrale (L'Élue),NA,NA
Craig,2005,10.1177/102986490500900207,m00028,s00543,1,empirical,NA,Mass for Christmas Day: Proper and Ordinary settings,Opening chant,NA,NA
Craig,2005,10.1177/102986490500900207,m00029,s00382,4,empirical,Johann Pachelbel,Canon in D,NA,NA,NA
Craig,2005,10.1177/102986490500900207,m00030,s00072,3,empirical,Bedřich Smetana,Vltava (The Moldau),NA,NA,NA
Craig,2005,10.1177/102986490500900207,m00031,s00047,3,empirical,Antonín Dvořák,Symphony No. 9 in E minor - Op. 95 - B. 178 (New World Symphony),NA,NA,NA
Craig,2005,10.1177/102986490500900207,m00032,s00218,2,empirical,Eric Clapton,Tears in Heaven,NA,NA,NA
Craig,2005,10.1177/102986490500900207,m00033,s00359,1,empirical,James Taylor,Sweet Baby James,NA,NA,NA
Craig,2005,10.1177/102986490500900207,m00034,s00514,1,empirical,Michael Kamen,Robin Hood: Prince of Thieves Soundtrack,NA,NA,NA
Craig,2005,10.1177/102986490500900207,m00035,s00784,1,empirical,Trevor Jones and Randy Edelman,The Last of the Mohicans Soundtrack,NA,NA,NA
Craig,2005,10.1177/102986490500900207,m00036,s00297,6,empirical,Gustav Holst,The Planets - Op. 32,Jupiter,NA,NA
Craig,2005,10.1177/102986490500900207,m00037,s00667a,8,empirical,Samuel Barber,Adagio for Strings,NA,NA,NA
